implant,condition,contrast_ratio,simulated_iou,ssim
argus2,baseline,5.915660858154297,0.3305177678411057,0.2894445997496138
argus2,edge_enhanced,34.25571060180664,0.666298828125,0.3072325075346199
argus2,brightness / dim,49.94944381713867,0.34688575106105046,0.3010006913643906
argus2,brightness / black,401.3877868652344,0.36806217072649156,0.3080992150277988
argus2,brightness / blur,8.126046180725098,0.33269733353533826,0.2911734775682654
argus2,edges_canny / dim,39.966590881347656,0.34562046761541,0.2993286370746853
argus2,edges_canny / black,431.8321228027344,0.3683880470766673,0.3080461413980023
argus2,edges_canny / blur,6.631750106811523,0.3315310712815928,0.28952192812297817
argus2,brightness+edges_canny / dim,54.777191162109375,0.3479370582488938,0.3010873803422791
argus2,brightness+edges_canny / black,415.863525390625,0.3683614391063191,0.3081031905473647
argus2,brightness+edges_canny / blur,8.88886833190918,0.33358758735046784,0.2911858494721283
argus2,edges_sobel / dim,40.675392150878906,0.3455432813418674,0.29925327596520884
argus2,edges_sobel / black,421.8046569824219,0.3683348321707216,0.3079362222349728
argus2,edges_sobel / blur,6.738058567047119,0.3315310712815928,0.28945054827569333
prima,baseline,,0.666298828125,0.3149569854357121
prima,edge_enhanced,,0.666298828125,0.3079934787916716
prima,brightness / dim,,0.666298828125,0.31032998436915665
prima,brightness / black,,0.666298828125,0.3096822750536955
prima,brightness / blur,,0.666298828125,0.3136147173715774
prima,edges_canny / dim,,0.666298828125,0.3127761261008918
prima,edges_canny / black,,0.666298828125,0.3118451013367503
prima,edges_canny / blur,,0.666298828125,0.3172201895701048
prima,brightness+edges_canny / dim,,0.666298828125,0.3124759543272489
prima,brightness+edges_canny / black,,0.666298828125,0.3118374209477105
prima,brightness+edges_canny / blur,,0.666298828125,0.31565145466037303
prima,edges_sobel / dim,,0.666298828125,0.3130906080554146
prima,edges_sobel / black,,0.666298828125,0.3122097291819063
prima,edges_sobel / blur,,0.666298828125,0.31751851533187475
custom_grid,baseline,2866.4853515625,0.666298828125,0.35374173990004715
custom_grid,edge_enhanced,,0.666298828125,0.32494579595374845
custom_grid,brightness / dim,101635.4609375,0.666298828125,0.3359238005277718
custom_grid,brightness / black,,0.666298828125,0.3331821593969624
custom_grid,brightness / blur,4346.056640625,0.666298828125,0.3493302900646636
custom_grid,edges_canny / dim,86652.8828125,0.666298828125,0.3444442491391708
custom_grid,edges_canny / black,,0.666298828125,0.34097758450825727
custom_grid,edges_canny / blur,3181.0,0.666298828125,0.36086726819932213
custom_grid,brightness+edges_canny / dim,111816.7734375,0.666298828125,0.3424765263647478
custom_grid,brightness+edges_canny / black,,0.666298828125,0.33980926021595753
custom_grid,brightness+edges_canny / blur,4743.1064453125,0.666298828125,0.35565979896602795
custom_grid,edges_sobel / dim,88500.953125,0.666298828125,0.3446674057777665
custom_grid,edges_sobel / black,,0.666298828125,0.34128785358125696
custom_grid,edges_sobel / blur,3366.159423828125,0.666298828125,0.36080184704701
